City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,mossel bay,-34.1831,22.146,22.96,71,12,5.39,ZA,1701513850
127,utrik,11.2278,169.8474,27.36,76,82,8.83,MH,1701513850
128,key west,24.5557,-81.7826,27.0,88,75,3.6,US,1701513851
129,sheoganj,25.15,73.0667,26.71,39,26,3.86,IN,1701513851
130,xai-xai,-25.0519,33.6442,28.29,46,0,5.72,MZ,1701513852
131,afaahiti,-17.75,-149.2833,25.93,85,22,7.97,PF,1701513852
132,enewetak,11.3474,162.3373,27.72,79,92,7.97,MH,1701513853
133,port alfred,-33.5906,26.891,22.32,73,100,2.68,ZA,1701513853
134,tehuacan,18.45,-97.3833,17.22,65,88,2.22,MX,1701513854
135,broome,42.2506,-75.833,6.5,96,100,1.75,US,1701513854
136,autazes,-3.5797,-59.1306,25.0,90,94,1.01,BR,1701513855
137,garoua,9.3,13.4,34.22,20,0,2.06,CM,1701513856
138,inhambane,-23.865,35.3833,28.99,45,20,3.6,MZ,1701513857
139,ar ruways,24.1103,52.7306,25.13,57,0,5.81,AE,1701513858
140,bathsheba,13.2167,-59.5167,26.34,83,40,7.2,BB,1701513858
141,nar'yan-mar,67.6713,53.087,-6.61,96,100,2.24,RU,1701513705
142,zeya,53.75,127.2667,-13.62,80,100,1.37,RU,1701513854
143,mutuali,-14.8706,37.0044,28.77,51,80,0.78,MZ,1701513859
144,kruisfontein,-34.0033,24.7314,23.27,44,100,5.55,ZA,1701513860
145,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,81,40,7.6,RU,1701513653
146,udachny,66.4167,112.4,-32.53,82,99,1.69,RU,1701513862
147,katima mulilo,-17.5,24.2667,34.91,23,77,2.74,NA,1701513862
148,avarua,-21.2078,-159.775,24.03,83,100,2.57,CK,1701513863
149,suntar,62.1444,117.6319,-37.22,100,61,0.59,RU,1701513667
150,goba,7.0167,39.9833,18.87,42,81,3.38,ET,1701513864
151,fuglafjordur,62.244,-6.814,2.26,63,84,5.87,FO,1701513864
152,keflavik,64.0049,-22.5624,-0.76,69,0,1.03,IS,1701513810
153,cerro de ortega,18.75,-103.7667,23.29,78,98,1.3,MX,1701513865
154,nueve de julio,-35.4444,-60.8831,18.87,98,0,1.34,AR,1701513866
155,sorong,-0.8833,131.25,27.62,79,98,1.35,ID,1701513866
156,callao,-12.0667,-77.15,20.4,88,100,2.06,PE,1701513867
157,siilinjarvi,63.0833,27.6667,-8.99,88,100,1.54,FI,1701513867
158,kushikino,31.7167,130.2667,6.71,66,14,3.51,JP,1701513867
159,vorkuta,67.5,64.0,-10.9,93,100,1.9,RU,1701513868
